ID,Sent1,Sent2,Score,Dataset,Domain
6984,russian president vladimir putin states that the decision to cease implementation of the conventional forces in europe treaty is a response to u.s. plans to establish missile defense sites in eastern europe and to nato's failure to ratify an amended version of the treaty. ,russian president vladimir putin states that the decision is a response to u.s. plans to establish missile defense sites in eastern europe and to nato's failure to ratify an amended version of the treaty.,4.2,STS2014-gold,deft-news
6985,dutch national research institute tno carried out chemical weapons experiments for the dutch defense ministry during the 1950s. ,a hp/detijd journalist learned about tno's chemical weapons experiments from the defense ministry's archives.,2.6,STS2014-gold,deft-news
6986,"a report issued by security software vendor mcafee inc., said government-affiliated hackers in china are at the forefront of a brewing cyber cold war. ",government-affiliated hackers in china are at the forefront of a burgeoning cyber cold war.,3.4,STS2014-gold,deft-news
6987,"the treaty limits the number of aircraft, tanks and other non-nuclear heavy weapons around europe and was first signed in 1990. ","the treaty limits the number of aircraft, tanks and other non-nuclear heavy weapons around europe.",3.6,STS2014-gold,deft-news
6988,many of the attacks originated abroad. ,estonian officials stated that the attacks originated in russia.,1.8,STS2014-gold,deft-news
6989,police arrested 2 honduran drug trafficking suspects. ,bulgarian police arrest head of drug trafficking group.,1.4,STS2014-gold,deft-news
6990,if japan rises to the occasion japan will never be beaten even in terms of military power. ,ozawa said that if japan rises to the occasion then japan will never be beaten even in terms of military power.,3.6,STS2014-gold,deft-news
6991,egypt and jordan have signed the nuclear nonproliferation treaty and have long called for a middle east free of weapons of mass destruction. ,syria has signed the nuclear nonproliferation treaty and has allowed agency experts to inspect its only known nuclear facility.,4.0,STS2014-gold,deft-news
6992,russia already participates in the european space agency's ,france is a leader in the european space agency.,1.2,STS2014-gold,deft-news
6993,myanmar is a military state. ,myanmar has a military junta.,3.0,STS2014-gold,deft-news
6994,it did not say if the men had been hanged in prison. ,dozens of such criminals have been hanged in public.,1.8,STS2014-gold,deft-news
6995,"amnesty international's report was compiled by european and international non-governmental organizations such as saferworld, which opposes armed violence. ",the amnesty international report was compiled by european and international non-governmental forums.,3.2,STS2014-gold,deft-news
6996,an institute for public policy research report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists. ,the report said there are 27 weak states that pose a threat to britain's national security as the states could provide bases for terrorists.,4.2,STS2014-gold,deft-news
6997,the iranian government denied the accusation and insists the nuclear program is for peaceful purposes only. ,iran insists that its nuclear program is for peaceful purposes,4.0,STS2014-gold,deft-news
6998,the proliferation security initiative calls for stopping and searching ships suspected of carrying weapons of mass destruction. ,members of the proliferation security initiative are considering ways of intercepting ships or aircraft suspected of carrying weapons of mass destruction.,3.2,STS2014-gold,deft-news
6999,"the international community should modernize and seek a fair, reasonable and effective way to enhance the nuclear non-proliferation regime through extensive consultations. ","the third proposal was that countries should advance with the times and seek a fair, reasonable and effective way to enhance the nuclear non-proliferation regime through broad consultation.",3.4,STS2014-gold,deft-news
7000,amnesty international has published a report stating that an indian project to sell attack helicopters to myanmar threatens a european union arms embargo against myanmar. ,the amnesty international report was titled indian helicopters for myanmar: making a mockery of the eu arms embargo?,3.8,STS2014-gold,deft-news
7001,naeem m. smuggled 10 kilograms (22 pounds) of heroin. ,the defendants smuggled more than 11 kilograms (24 pounds) of heroin.,2.4,STS2014-gold,deft-news
7002,29 people were convicted by the quang ninh people's court of participating in a drug ring that trafficked heroin from vietnam to china. ,court official tran dao stated the 12 people were among 29 people convicted by the quang ninh people's court of participating in a drug ring that trafficked heroin from vietnam to china.,3.4,STS2014-gold,deft-news
7003,the lawyer of michael karras named s.s. dhillon could not be reached for comment. ,durban port authorities and police explosives inspectors could not be reached for comment.,2.0,STS2014-gold,deft-news
7004,the countries oppose the weaponization of space and an arms race in space. ,china stressed that opposition of weaponization and an arms race in outer space.,3.2,STS2014-gold,deft-news
7005,"france, belgium, germany, sweden, italy and britain provide parts and technology for the advanced light helicopter (alh). ","france, belgium, germany, sweden, italy and britain provide parts and technology for the advanced light helicopter that india plans to sell to myanmar.",3.4,STS2014-gold,deft-news
7006,illegal arms trafficking increases in kenya due to easy availability and neighboring conflicts. ,illegal arms trafficking has increased in kenya and raised concern about security.,3.2,STS2014-gold,deft-news
7007,"n.r. mohanty stated that an agreement had been signed between the defense research and development organisation, hindustan aeronautics limited and the indian air force to upgrade india's ageing fleet of mig-27 m aircraft. ","mohanty stated that the upgrade will be done soon as it has almost been finalised by the defense research and development organisation, hindustan aeronautics limited and the indian air force.",3.4,STS2014-gold,deft-news
7008,elbaradei states that a middle east peace deal can only be reached in parallel with a security agreement based on eradicating all weapons of mass destruction from the region. ,elbaradei was quoted as saying that a peace deal between israel and its arab neighbors must be reached in parallel with a security agreement based on eradicating all weapons of mass destruction from the region.,4.6,STS2014-gold,deft-news
7009,drug traffickers face the death penalty under tajik law. ,afghan drug trafficker was caught in tajikistan.,1.6,STS2014-gold,deft-news
7010,international atomic energy association is the united nations watchdog. ,the international atomic energy agency is the u.n.'s nuclear watchdog.,5.0,STS2014-gold,deft-news
